Available Now	Nyní k dispozici
Business Chart User Setup	Nastavení uživatelù obchodního grafu
VAT Rate Change Setup	Nastavení zmìny sazby DPH
VAT Rate Change Conversion	Zmìna pøepoètu sazby DPH
VAT Rate Change Log Entry	Položka protokolu zmìn sazby DPH
VAT Clause	Klauzule DPH
VAT Clause Translation	Pøeklad klauzule DPH
VAT Report Header	Hlavièka DPH reportu
VAT Report Line	Øádek DPH reportu
VAT Report Setup	Nastavení DPH reportu
VAT Report Line Relation	Øádek relace DPH reportu
VAT Report Error Log	Chyba logu DPH reportu
Standard General Journal	Standardní finanèní deník
Standard General Journal Line	Øádek standardního finanèního deníku
Standard Item Journal	Standardní deník zboží
Standard Item Journal Line	Øádek standardního deníku zboží
Trailing Sales Orders Setup	Nastavení nevyøízených prodejních objednávek
Account Schedules Chart Setup	Nastavení grafu úèetních schémat
Acc. Sched. Chart Setup Line	Øádek nastavení grafu úè.schémata
Analysis Report Chart Setup	Nastavení grafu analýzy
Analysis Report Chart Line	Øádek grafu analýzy
Certificate of Supply	Certifikát dodání
Online Map Setup	Nastavení Online Map
Online Map Parameter Setup	Nastavení parametrù Online Map
Name/Value Buffer	Zásobník názvu/hodnoty
DO Payment Connection Details	Detaily spojení platby DO
DO Payment Connection Setup	Nastavení produktu Microsoft Dynamics ERP Payment
DO Payment Setup	Konfigurace plateb Dynamics Online
DO Payment Credit Card	Platební karta platby Dynamics Online
DO Payment Credit Card Number	Platba DO - èíslo platební karty
DO Payment Trans. Log Entry	Platba DO - položka protokolu transakcí
DO Payment Card Type	Typ platební karty Dynamics Online
Cash Flow Forecast	Plán cash flow
Cash Flow Account	Úèet cash flow
Cash Flow Account Comment	Poznámka úètu cash flow
Cash Flow Setup	Nastavení cash flow
Cash Flow Worksheet Line	Øádek sešitu cash flow
Cash Flow Forecast Entry	Položka plánu cash flow
Cash Flow Manual Revenue	Ruèní pøíjem cash flow
Cash Flow Manual Expense	Ruèní výdej cash flow
Cash Flow Report Selection	Výbìr sestav cash flow
Cash Flow Chart Setup	Nastavení grafu cash flow
Assembly Header	Hlavièka montáže
Assembly Line	Øádek montáže
Assemble-to-Order Link	Odkaz na Montáž-na-zakázku
Assembly Setup	Nastavení montáže
Assembly Comment Line	Øádek poznámky montáže
Posted Assembly Header	Úètovaná hlavièka montáže
Posted Assembly Line	Úètovaný øádek montáže
Posted Assemble-to-Order Link	Odkaz na úèovanou Montáž-na-zakázku
ATO Sales Buffer	Zásobník ATO prodeje
Time Sheet Header	Hlavièka pracovního výkazu
Time Sheet Line	Øádek pracovního výkazu
Time Sheet Detail	Detail pracovního výkazu
Time Sheet Comment Line	Øádek poznámky pracnovního výkazu
Time Sheet Header Archive	Archiv hlavièky pracovního výkazu
Time Sheet Line Archive	Archiv øádku pracovního výkazu
Time Sheet Detail Archive	Archiv detailu pracovního výkazu
Time Sheet Cmt. Line Archive	Archiv poznámek pracovního výkazu
Time Sheet Posting Entry	Úèetní položka pracovního výkazu
Time Sheet Chart Setup	Nastavení grafu pracovního výkazu
Payment Registration Setup	Nastavení registrace plateb
Payment Registration Buffer	Zásobník registrace úhrad
Document Search Result	Výsledek hledání dokladu
Job Task	Úloha projektu
Job Task Dimension	Dimenze úlohy projektu
Job Planning Line	Øádek plánování projektu
Job WIP Entry	Položka NV projektu
Job WIP G/L Entry	Vìcná položka NV projektu
Job WIP Method	Metoda NV projektu
Job WIP Warning	Varování NV projektu
Job Resource Price	Cena zdroje projektu
Job Item Price	Cena za zboží projektu
Job G/L Account Price	Cena fin. úètu projektu
Job Entry No.	Èíslo položky projektu
Job Buffer	Zásobník projektu
Job WIP Buffer	Zásobník NV projektu
Job Difference Buffer	Zásobník rozdílù projektu
Job Usage Link	Propojení spotøeby projektu
Job WIP Total	NV projektu celkem
Job Planning Line Invoice	Faktura øádku plánování projektu
Cost Journal Template	Šablona deníku nákladù
Cost Journal Line	Øádek deníku nákladù
Cost Journal Batch	List deníku nákladù
Cost Type	Typ poøizovací ceny
Cost Entry	Položka nákladu
Cost Register	Žurnál nákladù
Cost Allocation Source	Zdroj rozdìlení nákladù
Cost Allocation Target	Cíl rozdìlení nákladù
Cost Accounting Setup	Nastavení nákladového úèetnictví
Cost Budget Entry	Položka rozpoètu nákladu
Cost Budget Name	Název rozpoètu nákladù
Cost Budget Register	Žurnál rozpoètu nákladù
Cost Center	Nákladové støedisko
Cost Object	Nositel nákladù
Cost Budget Buffer	Zásobník rozpoètu nákladu
Bank Export/Import Setup	Nastavení exportu/importu banky
Credit Transfer Register	Bezhotovostní pøevod
Credit Transfer Entry	Položka bezhotovostního pøevodu
Direct Debit Collection	Pøímé inkaso
Direct Debit Collection Entry	Položka pøímého inkasa
Posting Exch.	Výmìna úè. dat
Posting Exch. Field	Pole výmìny úè. dat
Posting Exch. Def	Definice výmìny úè. dat
Posting Exch. Column Def	Definice sloupce výmìny úè. dat
Posting Exch. Mapping	Mapování výmìny úè. dat
Posting Exch. Field Mapping	Pole mapování výmìny úè. dat
Payment Export Data	Export dat plateb
Posting Exch. Line Def	Definice øádku výmìny úè. dat
Payment Jnl. Export Error Text	Chybový text deníku exportu úhrad
Payment Export Remittance Text	Text exportu pøi zaslání úhrady
SEPA Direct Debit Mandate	SEPA povolení pøímého inkasa
Bank Statement Matching Buffer	Zásobník párování bankovního výpisu
Account Mapping	Mapování úètù
Mini Customer Template	Mini šablona zákazníka
Mini Item Template	Mini šablona zboží
Mini Dimensions Template	Mini šablona dimenzí
Mini Vendor Template	Mini šablona dodavatele
Sales Price and Line Disc Buff	Zásobník prodejních cen a øádkových slev
Mini Pages Mapping	Mini mapování stránek
Mini User Removed Instructions	Mini uživatel odstranil pokyny
Mini Chart Definition	Mini definice grafu
Mini Last Used Chart	Mini graf naposledy použitý
Mini Trial Balance Setup	Mini nastavení obratové pøedvahy
Sales by Cust. Grp.Chart Setup	Tržby podle nastavení zákaznické skupiny grafu
Contact	Kontakt
Contact Alt. Address	Alternativní adresa kontaktu
